,odds
1615,245
1616,-625
1617,450
1618,160
1619,-200
1620,-167
1621,135
1622,-265
1623,205
1624,270
1625,-360
1626,-1115
1627,700
1628,-295
1629,225
1630,188
1631,-240
1632,-109
1633,-114
1634,-670
1635,475
1636,-107
1637,-117
1638,145
1639,-182
1640,-155
1641,125
1642,410
1643,-560
1644,-210
1645,165
1646,-420
1647,310
1648,-152
1649,123
1650,-305
1651,235
1652,148
1653,-186
1654,170
1655,-215
1656,170
1657,-215
1658,-200
1659,160
1660,-190
1661,150
1662,310
1663,-400
1664,143
1665,-175
1666,-104
1667,-115
1668,-167
1669,135
1670,110
1671,-136
1672,-150
1673,120
1674,213
1675,-267
1676,205
1677,-265
1678,188
1679,-240
1680,-278
1681,215
1682,-253
1683,-243
1684,128
1685,-157
1686,-360
1687,275
1688,-278
1689,215
1690,150
1691,-190
1692,133
1693,-167
1694,-265
1695,499
1696,-245
1697,190
1698,104
1699,-127
1700,130
1701,-162
1702,-230
1703,180
1704,240
1705,-315
1706,155
1707,-185
1708,-265
1709,205
1710,-122
1711,-103
1712,-143
1713,115
1714,200
1715,-250
1716,132
1717,-165
1718,-186
1719,150
1720,200
1721,-250
1722,150
1723,-190
1724,300
1725,-400
1726,-215
1727,170
1728,-124
1729,100
1730,-1430
1731,750
1732,200
1733,-250
1734,110
1735,-137
1736,190
1737,-245
1738,205
1739,-265
1740,-240
1741,199
1742,-240
1743,-244
1744,-130
1745,110
1746,425
1747,-600
1748,-335
1749,255
1750,100
1751,-120
1752,-210
1753,165
1754,-400
1755,275
1756,150
1757,-180
1758,-182
1759,145
1760,160
1761,-200
1762,420
1763,-590
1764,215
1765,-278
1766,125
1767,-157
1768,235
1769,-305
1770,143
1771,-180
1772,600
1773,-900
1774,285
1775,-375
1776,600
1777,-910
1778,-132
1779,100
1780,400
1781,-560
1782,340
1783,-440
1784,-1430
1785,750
1786,-420
1787,320
1788,-375
1789,285
1790,165
1791,-210
1792,-250
1793,195
1794,250
1795,-300
1796,270
1797,-345
1798,-150
1799,120
1800,-127
1801,102
1802,-230
1803,180
1804,-480
1805,350
1806,130
1807,-150
1808,-121
1809,-104
1810,108
1811,-134
1812,132
1813,-165
1814,110
1815,-137
1816,175
1817,-210
1818,215
1819,-278
1820,-165
1821,140
1822,-420
1823,310
1824,150
1825,-180
1826,-165
1827,132
1828,-143
1829,116
1830,-175
1831,138
1832,-152
1833,123
1834,143
1835,-180
1836,-113
1837,-109
1838,-155
1839,123
1840,-205
1841,165
1842,155
1843,-195
1844,175
1845,-225
1846,-375
1847,285
1848,-245
1849,190
1850,-127
1851,104
1852,-118
1853,-105
1854,300
1855,-400
1856,140
1857,-170
1858,-182
1859,145
1860,116
1861,-143
1862,190
1863,-245
1864,130
1865,-150
1866,170
1867,-215
1868,-106
1869,-117
1870,155
1871,-195
1872,285
1873,-350
1874,-150
1875,120
1876,150
1877,-175
1878,200
1879,-240
1880,110
1881,-136
1882,205
1883,-265
1884,265
1885,-345
1886,128
1887,-159
1888,-375
1889,285
1890,-130
1891,105
1892,-130
1893,110
1894,-230
1895,180
1896,-335
1897,250
1898,-350
1899,280
1900,114
1901,-141
1902,-250
1903,200
1904,-150
1905,120
1906,360
1907,-480
1908,-180
1909,143
1910,-113
1911,-110
1912,-2000
1913,1050
1914,-200
1915,160
1916,135
1917,-167
1918,160
1919,-190
1920,118
1921,-148
1922,-310
1923,250
1924,400
1925,-560
1926,-455
1927,340
1928,-360
1929,270
1930,-121
1931,-104
1932,143
1933,-180
1934,320
1935,-420
1936,250
1937,-335
1938,138
1939,-175
1940,-315
1941,240
1942,-155
1943,130
1944,-200
1945,160
1946,-186
1947,148
1948,-115
1949,107
1950,425
1951,-590
1952,195
1953,-250
1954,175
1955,-225
1956,150
1957,-190
1958,-180
1959,150
1960,340
1961,-455
1962,-195
1963,155
1964,450
1965,-625
1966,-715
1967,510
1968,420
1969,-590
1970,215
1971,-255
1972,160
1973,-192
1974,-130
1975,110
1976,107
1977,-132
1978,175
1979,-205
1980,-190
1981,165
1982,140
1983,-177
1984,-136
1985,110
1986,-275
1987,210
1988,-230
1989,180
1990,425
1991,-600
1992,215
1993,-278
1994,-550
1995,400
1996,130
1997,-159
1998,300
1999,-400
2000,121
2001,-141
2002,180
2003,-230
2004,136
2005,136
2006,-360
2007,270
2008,-480
2009,350
2010,-480
2011,350
2012,-148
2013,118
2014,-420
2015,320
2016,117
2017,-143
2018,-141
2019,114
2020,-157
2021,125
2022,-275
2023,210
2024,-200
2025,160
2026,-420
2027,139
2028,-225
2029,200
2030,-265
2031,220
2032,270
2033,-345
2034,100
2035,-124
2036,-440
2037,340
2038,-275
2039,215
2040,240
2041,-305
2042,-148
2043,124
2044,-590
2045,425
2046,-335
2047,250
2048,-275
2049,210
2050,-200
2051,160
2052,-127
2053,102
2054,-157
2055,125
2056,480
2057,-670
2058,205
2059,-270
2060,-115
2061,-105
2062,155
2063,-195
2064,-143
2065,115
2066,215
2067,-275
2068,-275
2069,225
2070,-240
2071,188
2072,100
2073,-124
2074,-190
2075,150
2076,-195
2077,155
2078,-385
2079,290
2080,-167
2081,135
2082,-650
2083,460
2084,102
2085,-127
2086,-180
2087,150
2088,-200
2089,160
2090,-120
2091,100
2092,115
2093,-143
2094,165
2095,-205
2096,200
2097,-240
2098,260
2099,-335
2100,132
2101,-165
2102,285
2103,-375
2104,-335
2105,275
2106,195
2107,-250
2108,-105
2109,-120
2110,-590
2111,430
2112,180
2113,-225
2114,100
2115,-120
2116,-152
2117,123
2118,-235
2119,185
2120,-480
2121,350
2122,215
2123,-278
2124,-330
2125,260
2126,-1667
2127,950
2128,102
2129,-125
2130,-225
2131,175
2132,195
2133,-230
2134,-106
2135,-110
2136,-112
2137,-112
2138,-137
2139,112
2140,-225
2141,-225
2142,123
2143,-155
2144,-435
2145,325
2146,-112
2147,-112
2148,-400
2149,300
2150,120
2151,-150
2152,-130
2153,105
2154,-250
2155,195
2156,-175
2157,138
2158,-250
2159,195
2160,-360
2161,270
2162,-118
2163,-105
2164,155
2165,-195
2166,175
2167,-225
2168,-115
2169,-107
2170,-105
2171,-118
2172,-124
2173,100
2174,-215
2175,170
2176,-200
2177,160
2178,-110
2179,-110
2180,138
2181,-175
2182,-120
2183,-104
2184,-143
2185,116
2186,251
2187,-301
2188,106
2189,-132
2190,-190
2191,150
2192,150
2193,-175
2194,-455
2195,340
2196,128
2197,-159
2198,120
2199,-150
2200,-175
2201,138
2202,175
2203,-225
2204,-345
2205,265
2206,-455
2207,335
2208,185
2209,-235
2210,-137
2211,110
2212,125
2213,-150
2214,-400
2215,295
